,lndem,r-mkt,lncpi,lnipsa,lntr
1980-01,-1.283377492,#N/A,-1.988360639,-0.513075205,-2.857111834
1980-02,-1.343395337,#N/A,-1.968817108,-0.539378996,-3.136649639
1980-03,-1.376093022,#N/A,-1.955064831,-0.525077353,-3.263196682
1980-04,-1.337132844,#N/A,-1.948219305,-0.543121843,-3.326282935
1980-05,-1.331356668,#N/A,-1.94956878,-0.550537052,-3.534598094
1980-06,-1.321008157,#N/A,-1.937881053,-0.529171618,-3.566970792
1980-07,-1.322092246,#N/A,-1.928114969,-0.536650532,-3.517415721
1980-08,-1.322677303,#N/A,-1.917981445,-0.573868433,-2.889660091
1980-09,-1.32414965,#N/A,-1.916212826,-0.578496375,-2.666829803
1980-10,-1.35136167,#N/A,-1.906198601,-0.520671375,-2.675274828
1980-11,-1.342655116,#N/A,-1.899678487,-0.535742696,-2.799938346
1980-12,-1.347965004,#N/A,-1.870852896,-0.522734831,-2.992186539
1981-01,-1.383400095,#N/A,-1.842763601,-0.54170499,-3.126803439
1981-02,-1.361734478,#N/A,-1.828235158,-0.498553284,-3.357595021
1981-03,-1.350812622,#N/A,-1.815511272,-0.522369307,-3.326781798
1981-04,-1.360625661,#N/A,-1.788170503,-0.5063272,-3.506107949
1981-05,-1.372528051,#N/A,-1.782374167,-0.506938777,-3.669399881
1981-06,-1.36937312,#N/A,-1.775542716,-0.544241831,-3.314776554
1981-07,-1.365854692,#N/A,-1.747375547,-0.530589235,-2.96306803
1981-08,-1.351973963,#N/A,-1.720422153,-0.571984831,-2.903997713
1981-09,-1.314232837,#N/A,-1.703945665,-0.469537709,-2.968664872
1981-10,-1.289501381,#N/A,-1.686086947,-0.481218456,-3.248359678
1981-11,-1.285242105,#N/A,-1.673652371,-0.486123054,-3.872159698
1981-12,-1.281439847,#N/A,-1.647885571,-0.551947662,-3.390715041
1982-01,-1.279901188,#N/A,-1.630241651,-0.441626854,-3.513998714
1982-02,-1.276161271,#N/A,-1.6013976,-0.478993839,-3.726052512
1982-03,-1.261541793,#N/A,-1.575873723,-0.409972972,-3.934320082
1982-04,-1.235231717,#N/A,-1.556706921,-0.447340286,-3.819467387
1982-05,-1.227010941,#N/A,-1.555795662,-0.510309152,-3.68401939
1982-06,-1.119647251,#N/A,-1.545773187,-0.423818462,-3.487743484
1982-07,-1.108750334,#N/A,-1.546675355,-0.42221363,-3.324372346
1982-08,-1.102460822,#N/A,-1.528993476,-0.464679092,-3.123323921
1982-09,-1.093726299,#N/A,-1.515419544,-0.444361171,-3.299264542
1982-10,-1.078072622,#N/A,-1.509007786,-0.427235227,-3.457281449
1982-11,-1.051134369,#N/A,-1.500556028,-0.428332393,-3.686798353
1982-12,-1.022845693,#N/A,-1.475176115,-0.405996305,-3.567744056
1983-01,-1.019828431,0.123,-1.435966808,-0.410250625,-3.955776851
1983-02,-1.003244534,0.1433,-1.414525325,-0.394562249,-3.471568616
1983-03,-0.951670987,0.1493,-1.390668157,-0.390582208,-3.16685102
1983-04,-0.959110344,0.1452,-1.368166029,-0.406419296,-3.45269757
1983-05,-0.963158361,0.1763,-1.370166607,-0.415113866,-3.493337658
1983-06,-0.817479012,0.1604,-1.352347585,-0.39003779,-3.731244164
1983-07,-0.823074535,0.2122,-1.330896259,-0.420264827,-4.329578179
1983-08,-0.8165681,0.1573,-1.29897776,-0.43614702,-3.34697364
1983-09,-0.795934566,0.1459,-1.264837243,-0.400384236,-3.206659034
1983-10,-0.782042073,0.2681,-1.246069458,-0.404598454,-3.403277132
1983-11,-0.780001733,0.2856,-1.222835187,-0.418122228,-3.850848158
1983-12,-0.769992319,0.2227,-1.183338288,-0.403689274,-3.717838415
1984-01,-0.767942696,0.2083,-1.169297696,-0.39420854,-3.798658381
1984-02,-0.733638535,0.2382,-1.153084736,-0.377312746,-4.046282013
1984-03,-0.717927854,0.2115,-1.115717249,-0.418303347,-3.85619477
1984-04,-0.722811552,0.1887,-1.096342294,-0.419341298,-3.568256169
1984-05,-0.711643153,0.2551,-1.105965764,-0.387639477,-3.687329876
1984-06,-0.702727074,0.2234,-1.074219201,-0.394851741,-3.671664556
1984-07,-0.698717615,0.1877,-1.047212155,-0.346788738,-4.020876448
1984-08,-0.688917399,0.1866,-1.029108501,-0.365434592,-2.933292944
1984-09,-0.68863211,0.211,-1.026138609,-0.356431895,-3.002678698
1984-10,-0.674557022,0.2046,-1.017218952,-0.384323306,-3.196830538
1984-11,-0.670718176,0.2393,-1.00109057,-0.34238331,-3.435497357
1984-12,-0.661800331,0.1984,-0.991689328,-0.389717683,-3.424155942
1985-01,-0.647812484,0.172,-0.949406607,-0.38910976,-3.606055776
1985-02,-0.646292078,0.2316,-0.922170317,-0.423272199,-3.329411964
1985-03,-0.63220487,0.2438,-0.907521659,-0.376949285,-2.893729924
1985-04,-0.62056238,0.2075,-0.895019582,-0.396961123,-2.850350472
1985-05,-0.612584348,0.229,-0.892394292,-0.390854528,-2.746564544
1985-06,-0.603047448,0.2141,-0.891098008,-0.392441869,-2.879841095
1985-07,-0.570371965,0.2025,-0.887850895,-0.41419508,-2.737790754
1985-08,-0.553354897,0.1843,-0.880106025,-0.394128169,-2.583942349
1985-09,-0.530081819,0.1704,-0.878798336,-0.422312823,-2.41320227
1985-10,-0.518031504,0.1896,-0.868559617,-0.358678861,-2.173141672
1985-11,-0.49912327,0.2163,-0.852148718,-0.393630013,-2.285073811
1985-12,-0.48791859,0.1608,-0.835403015,-0.388022821,-2.430532322
1986-01,-0.472171563,0.169,-0.816014008,-0.381192618,-2.469521606
1986-02,-0.453224456,0.1622,-0.803714605,-0.367310618,-2.496536082
1986-03,-0.461512136,0.1422,-0.791589593,-0.343696788,-2.59507996
1986-04,-0.443966172,0.1533,-0.779585182,-0.318986284,-2.58008788
1986-05,-0.446670928,0.1533,-0.782993266,-0.349536646,-2.620964695
1986-06,-0.426682572,0.1439,-0.781287773,-0.334841383,-2.563456475
1986-07,-0.396903081,0.136,-0.781287773,-0.322990173,-2.422718666
1986-08,-0.378064313,0.1338,-0.771115445,-0.298750775,-2.185164546
1986-09,-0.363383836,0.1327,-0.76772317,-0.290848126,-2.061217561
1986-10,-0.354689968,0.1398,-0.761021351,-0.300871666,-2.062571503
1986-11,-0.335423886,0.1458,-0.752682748,-0.290688679,-2.187163749
1986-12,-0.325293412,0.1307,-0.734607244,-0.29340274,-2.387228771
1987-01,-0.296692696,0.128,-0.723287297,-0.323214746,-2.347179681
1987-02,-0.297799987,0.1459,-0.712071014,-0.285599757,-2.311864549
1987-03,-0.296850733,0.136,-0.699407834,-0.31148493,-2.360360877
1987-04,-0.29580819,0.1488,-0.693147181,-0.282417907,-2.475661251
1987-05,-0.292404145,0.1488,-0.693147181,-0.275456125,-2.303822443
1987-06,-0.286598518,0.1315,-0.696272608,-0.275627439,-2.237985849
1987-07,-0.285893338,0.1358,-0.693147181,-0.249251169,-1.960434587
1987-08,-0.280725494,0.1394,-0.682262107,-0.30421571,-1.663534051
1987-09,-0.280484983,0.1366,-0.679180097,-0.275427576,-1.625080022
1987-10,-0.261280808,0.1316,-0.666924145,-0.284677274,-1.532033463
1987-11,-0.247231017,0.133,-0.663888974,-0.276484447,-1.532664293
1987-12,-0.238462838,0.1277,-0.648828153,-0.243358645,-1.561207012
1988-01,-0.243149044,0.1207,-0.641371222,-0.237761795,-1.109772688
1988-02,-0.241242975,0.1238,-0.62664329,-0.24288874,-1.145045783
1988-03,-0.236456216,0.1245,-0.620820734,-0.289790454,-1.232690199
1988-04,-0.241895388,0.1233,-0.616475959,-0.252287214,-1.243421933
1988-05,-0.248701272,0.1237,-0.613589893,-0.226117547,-1.221344587
1988-06,-0.245883006,0.1234,-0.607821868,-0.254926862,-1.32651158
1988-07,-0.255539783,0.12361,-0.600684079,-0.23937147,-1.359660582
1988-08,-0.239183069,0.12292,-0.586539224,-0.243884095,-1.26369563
1988-09,-0.238127557,0.12237,-0.575361632,-0.260325572,-1.247020534
1988-10,-0.22917217,0.12251,-0.565680201,-0.226742777,-1.132865254
1988-11,-0.229693103,0.12375,-0.550664608,-0.231485481,-1.220634396
1988-12,-0.237248502,0.12246,-0.538541121,-0.224556182,-1.128696077
1989-01,-0.243931867,0.12159,-0.525242873,-0.218105812,-1.095038893
1989-02,-0.232414303,0.1229,-0.512119151,-0.232032063,-1.051699493
1989-03,-0.23489861,0.12375,-0.503047048,-0.188686261,-1.064284837
1989-04,-0.230865099,0.12472,-0.492760212,-0.197018986,-1.007216244
1989-05,-0.227907231,0.14875,-0.491484076,-0.179760597,-0.996435048
1989-06,-0.219257127,0.12487,-0.485109347,-0.173037709,-0.924060538
1989-07,-0.209955732,0.12288,-0.475004467,-0.192200143,-0.81271887
1989-08,-0.220849386,0.12246,-0.457576363,-0.16561762,-0.687766135
1989-09,-0.207315053,0.12336,-0.455113791,-0.151255742,-0.571756942
1989-10,-0.194764394,0.12385,-0.450189031,-0.147480586,-0.546691236
1989-11,-0.181127708,0.12516,-0.440446803,-0.150411387,-0.536113073
1989-12,-0.166355201,0.13776,-0.429581688,-0.150285425,-0.465353038
1990-01,-0.168732468,0.13651,-0.411725761,-0.134329069,-0.412076781
1990-02,-0.170513736,0.13421,-0.389565452,-0.146840224,-0.398066723
1990-03,-0.164897745,0.13308,-0.383823236,-0.119270285,-0.357231201
1990-04,-0.163121975,0.13428,-0.37128885,-0.093343956,-0.367728986
1990-05,-0.169367781,0.1341,-0.360027231,-0.099753813,-0.350633781
1990-06,-0.171797172,0.10713,-0.357793281,-0.099789738,-0.194993223
1990-07,-0.168384862,0.12428,-0.349997478,-0.075046305,-0.145378597
1990-08,-0.164662755,0.12725,-0.33787747,-0.051767421,-0.127452603
1990-09,-0.15944287,0.12344,-0.326983893,-0.07763148,-0.116192828
1990-10,-0.169460146,0.17478,-0.315137999,-0.073692051,-0.061801174
1990-11,-0.168644707,0.15061,-0.308728265,-0.071128664,-0.056499886
1990-12,-0.153218235,0.09492,-0.300250455,-0.057995831,-0.090048371
1991-01,-0.16612713,0.10328,-0.289757052,-0.09274922,-0.104876234
1991-02,-0.176221282,0.12312,-0.272177538,-0.073692051,-0.121742733
1991-03,-0.183474114,0.12656,-0.26705494,-0.082504126,-0.196627731
1991-04,-0.192811308,0.17156,-0.260959874,-0.124559294,-0.18026564
1991-05,-0.178957482,0.18053,-0.252875921,-0.10508479,-0.100729853
1991-06,-0.180512252,0.18595,-0.246851937,-0.077034308,-0.085035139
1991-07,-0.193741497,0.1266,-0.241871524,-0.094367729,0.003589741
1991-08,-0.196980028,0.1412,-0.234926055,-0.079296076,0.08289569
1991-09,-0.186113919,0.1785,-0.232954541,-0.085262098,0.15826386
1991-10,-0.192249666,0.1563,-0.227049026,-0.089863832,0.178855009
1991-11,-0.160692493,0.1788,-0.222166031,-0.093117915,0.208852737
1991-12,-0.163435459,0.1859,-0.216323701,-0.105988105,0.263512348
1992-01,-0.19162911,0.1744,-0.207630668,-0.082304057,0.247829239
1992-02,-0.192462637,0.1655,-0.195212099,-0.075607223,0.27379917
1992-03,-0.189892301,0.175,-0.185760065,-0.109113843,0.32310076
1992-04,-0.214478475,0.1714,-0.169889824,-0.10035273,0.357946052
1992-05,-0.229417794,0.1743,-0.15975735,-0.083575767,0.40262408
1992-06,-0.221943409,0.1677,-0.156102927,-0.098832182,0.468849185
1992-07,-0.202640239,0.1654,-0.151540442,-0.113195605,0.505438301
1992-08,-0.174877944,0.149,-0.147011776,-0.204184722,0.549365207
1992-09,-0.159160913,0.2511,-0.146108498,-0.139848107,0.372883464
1992-10,-0.157156242,0.1819,-0.143390502,-0.12670982,0.242472141
1992-11,-0.148142549,0.1791,-0.139795297,-0.128236425,0.163340353
1992-12,-0.136542175,0.1424,-0.135319391,-0.162246745,0.188029699
1993-01,-0.140024328,0.1338,-0.126414406,-0.14647628,0.246651658
1993-02,-0.125466752,0.1316,-0.118465889,-0.174365773,0.204789506
1993-03,-0.120764773,0.1797,-0.114946346,-0.145209782,0.067033026
1993-04,-0.11775588,0.1929,-0.109709077,-0.162132028,0.044031707
1993-05,-0.082903173,0.1562,-0.104486541,-0.179981149,0.051753753
1993-06,-0.089287379,0.1194,-0.101891726,-0.180863842,0.03730771
1993-07,-0.015107292,0.1149,-0.094992522,-0.169487684,0.09037635
1993-08,-0.020862126,0.1125,-0.090712305,-0.192567979,0.076896312
1993-09,-0.013279991,0.1111,-0.088140592,-0.164505508,0.056087746
1993-10,-0.01125491,0.1153,-0.082194166,-0.204078384,0.050236907
1993-11,-0.018046445,0.1112,-0.075429076,-0.173785334,0.010206348
1993-12,-0.017490583,0.1116,-0.072908481,-0.147945419,-0.000637423
1994-01,-0.033410006,0.1061,-0.065372522,-0.177764873,0.019220907
1994-02,-0.024532866,0.0989,-0.059547567,-0.178995531,0.031889658
1994-03,-0.018899041,0.1073,-0.057066637,-0.178049733,-0.023174847
1994-04,-0.01369783,0.1504,-0.051289724,-0.180020075,-0.015129555
1994-05,-0.002860173,0.1154,-0.048829172,-0.170348307,-0.074362796
1994-06,-0.012460255,0.1141,-0.047180308,-0.179981149,-0.110793369
1994-07,-0.025348228,0.1171,-0.045545992,-0.176652109,-0.016308823
1994-08,-0.024663013,0.1034,-0.043914342,-0.1736435,0.000637017
1994-09,-0.022037119,0.0937,-0.042285351,-0.144909068,-0.00153429
1994-10,-0.020406723,0.0911,-0.038212696,-0.181838304,0.009837823
1994-11,-0.019969438,0.0884,-0.036592959,-0.165106151,-0.018947982
1994-12,-0.014572012,0.089,-0.033361333,-0.150373597,-0.021465197
1995-01,-0.0081617,0.0877,-0.021311804,-0.120174289,-0.026739014
1995-02,-0.004732222,0.0876,-0.014945033,-0.10829224,-0.059267508
1995-03,0.055470108,0.09903,-0.010204982,-0.160412863,-0.043394685
1995-04,0.085071265,0.09161,-0.006260653,-0.072199827,-0.093374527
1995-05,0.012059259,0.08993,-0.007057384,-0.102547831,-0.079917059
1995-06,0.01454871,0.08992,-0.009417153,-0.134440639,0.018211591
1995-07,0.003221131,0.08856,-0.009417153,-0.071699032,-0.003735652
1995-08,-0.003598441,0.08825,-0.004691812,-0.067261086,-0.031396061
1995-09,0.007167536,0.08599,-0.003125427,-0.090800967,-0.028516135
1995-10,0.010581966,0.08715,0.000779833,-0.030514292,-0.082270726
1995-11,0.001687265,0.08731,0.001570347,-0.066287838,-0.082092639
1995-12,0,0.08613,0,0,0
1996-01,-0.005716957,0.08196,0.00312696,-0.052246912,-0.019057295
1996-02,-0.003561071,0.07976,0.009340498,-0.051778835,-0.033005407
1996-03,-0.00888215,0.0788,0.013197471,-0.044307925,0.039705669
1996-04,-0.016827296,0.07531,0.022405016,-0.043379388,-0.015200015
1996-05,-0.01304212,0.07202,0.026982692,-0.028148273,0.029625995
1996-06,-0.012543253,0.07371,0.026223035,-0.001529309,-0.02131695
1996-07,-0.011285443,0.07447,0.027741772,-0.028917731,0.023704056
1996-08,-0.016150077,0.07247,0.030772344,-0.016324306,0.032989049
1996-09,-0.024255937,0.07126,0.030772344,-0.020519268,0.002803619
1996-10,-0.029963992,0.07041,0.030015562,-0.038546824,-0.004793776
1996-11,-0.030760008,0.06876,0.031528554,-0.022512513,-0.022710049
1996-12,-0.035597494,0.06686,0.03229514,-0.06391662,0.004255888
1997-01,-0.038831319,0.06415,0.039026747,-0.041106981,0.042714701
1997-02,-0.03627758,0.06302,0.036010219,-0.01435434,-0.021961662
1997-03,-0.033758686,0.06233,0.037013108,-0.015619515,-0.051744664
1997-04,-0.037799451,0.06052,0.04003748,-0.00992237,-0.039002946
1997-05,-0.028826054,0.05868,0.048043668,-0.026210525,-0.032874999
1997-06,-0.032122228,0.05977,0.047040999,0.005447425,-0.053187488
1997-07,-0.030635297,0.05709,0.046048122,-0.012849217,-0.087208126
1997-08,-0.025802127,0.05544,0.046048122,-0.014530268,-0.065546383
1997-09,-0.022850654,0.05446,0.044048586,-0.017956042,-0.095933714
1997-10,-0.019918021,0.05484,0.047040999,0.009309618,-0.050111533
1997-11,-0.019917617,0.05211,0.054991533,0.016339355,0.011965901
1997-12,-0.018712094,0.05131,0.055986265,0.00858995,-0.012066119
1998-01,-0.019019467,0.04975,0.056980009,0.004487634,-0.047329411
1998-02,-0.017937527,0.04884,0.056980009,0.05121851,-0.017688536
1998-03,-0.017455866,0.04672,0.05895388,0.044814059,-0.029496849
1998-04,-0.01675932,0.04672,0.066810631,0.055226202,-0.035068112
1998-05,-0.017122711,0.04473,0.072662948,0.061136421,-0.024939171
1998-06,-0.01817627,0.0433,0.073629761,0.035035634,-0.01630241
1998-07,-0.018076468,0.04348,0.076545552,0.051661173,0.028400257
1998-08,-0.018880496,0.04412,0.076545552,0.03391528,0.047515212
1998-09,-0.015903919,0.04355,0.074606134,0.055359516,0.077176696
1998-10,-0.016184875,0.0402,0.078481215,0.055626089,0.076796991
1998-11,-0.031914581,0.03662,0.083309246,0.040982816,0.077013148
1998-12,-0.014693518,0.03284,0.087150812,0.054364363,-0.001610118
1999-01,#N/A,0.0313,0.083309246,0.058635488,-0.642588726
1999-02,#N/A,0.031,0.083309246,0.082739367,-0.678041751
1999-03,#N/A,0.0287,0.088103726,0.057725435,-0.658233445
1999-04,#N/A,0.0266,0.094789953,0.080541959,-0.648236824
1999-05,#N/A,0.0254,0.095735619,0.060789726,-0.59287717
1999-06,#N/A,0.0257,0.097634525,0.092558503,-0.617260901
1999-07,#N/A,0.0249,0.096690655,0.069380792,-0.61008658
1999-08,#N/A,0.0242,0.094789953,0.083497351,-0.614069455
1999-09,#N/A,0.0237,0.094789953,0.0634989,-0.591849265
1999-10,#N/A,0.025,0.097634525,0.078780549,-0.586417013
1999-11,#N/A,0.0291,0.103319903,0.092311479,-0.572228672
